name,deathsperthoulivebirths,percentgdpeduc,migrantsperthousand,gini,inflationrate,unemploymentrate,roadkm,railwaykm,airports
Luxembourg,3.25,5,12.01,34.2,2.53,5.23,2875.00,271,2.00
Albania,10.82,3.1,-3.23,30.8,2.04,11.82,3945.00,424,3.00
Benin,55.76,3,0.24,37.8,1.73,1.57,16000.00,438,6.00
Armenia,12.18,2.8,-5.36,25.2,7.18,20.9,7700.00,686,7.00
Moldova,11.6,6.4,-8.87,25.7,5.11,3.96,9352.00,1171,7.00
Lebanon,7.04,1.7,-0.94,31.8,154.76,14.49,21705.00,401,8.00
Togo,41.19,4,-1.81,43.1,1.83,4,9951.00,568,8.00
Ghana,32.59,3.9,-0.16,43.5,9.97,4.7,65725.00,947,10.00
Djibouti,46.89,3.6,4.59,41.6,1.78,28.39,2893.00,97,13.00
Eswatini,39.63,5,-6.16,54.6,2.6,25.76,3769.00,301,14.00
Cambodia,29.58,3.1,-2.7,37.9,2.92,0.61,47263.00,642,16.00
Guinea,49.63,2.2,0,29.6,12.6,6.34,44301.00,1086,16.00
Slovenia,1.52,5.8,1.54,24.2,1.92,4.42,38985.00,1207,16.00
Jordan,13.9,3.2,-11.08,33.7,1.35,19.25,7203.00,509,18.00
Estonia,3.42,6.6,-2.79,30.8,4.65,6.33,58412.00,1441,18.00
Sri Lanka,8.2,1.9,-1.22,39.8,7.01,5.39,114093.00,1562,18.00
Bangladesh,30.35,2.1,-2.9,32.4,5.55,5.23,369105.00,2460,18.00
Senegal,32.44,5.5,-0.71,40.3,2.55,3.72,16665.00,906,20.00
Georgia,14.77,3.6,0.06,34.5,9.57,10.66,20295.00,1363,22.00
Burkina Faso,49.42,5.5,-0.61,47.3,3.65,4.76,15304.00,622,23.00
Azerbaijan,23.51,4.3,0,33.7,6.65,6.58,24981.00,2944.3,23.00
Tajikistan,32.33,5.9,-1.03,34,7.7,7.75,30000.00,680,24.00
Mali,60.64,4.4,-3.08,36.1,3.93,7.72,139107.00,593,25.00
Serbia,4.81,3.6,0,36.2,4.09,11.81,44248.00,3333,26.00
Turkmenistan,37.62,3.1,-1.71,40.8,8,5.08,58592.00,5113,26.00
"Congo, Republic of the",47.93,4.5,0,48.9,1.72,23.01,23324.00,510,27.00
Cote d'Ivoire,55.67,3.4,1.18,37.2,4.09,3.47,81996.00,660,27.00
Kyrgyzstan,25.66,6.2,-4.87,29,11.91,9.1,34000.00,424,28.00
Fiji,10.06,5.7,-5.84,30.7,0.16,5.24,3440.00,597,28.00
Liberia,44.57,2.7,-2.74,35.3,23.56,4.09,10600.00,429,29.00
Netherlands,3.4,5.3,1.9,28.5,2.68,4.01,139124.00,3055,29.00
Mauritania,50.99,1.9,-0.72,32.6,3.57,11.46,12253.00,728,30.00
Malawi,33.43,2.9,0,38.5,8.63,7.02,15452.00,767,32.00
Cameroon,48.73,3.2,-0.31,46.6,2.27,3.87,77589.00,987,33.00
Slovakia,4.82,4.6,0.2,25.2,3.15,6.74,56926.00,3627,35.00
Dominican Republic,21.18,4.6,-2.68,39.6,8.24,8.5,19705.00,496,36.00
Ireland,3.47,3.1,3.79,30.6,2.36,6.63,99830.00,1688,40.00
Belgium,3.19,6.7,4.38,27.2,2.44,6.42,118414.00,3602,41.00
Hungary,4.62,4.8,1.23,30,5.11,4.12,203601.00,7687,41.00
Israel,3.56,7.1,2.02,38.6,1.49,5.05,19555.00,1384,42.00
Latvia,4.85,6,-5.19,34.5,3.28,7.6,70244.00,2216,42.00
Gabon,28.56,3.2,3.67,38,1.18,22.26,14300.00,649,44.00
Mongolia,20.18,4.7,-0.77,32.7,7.35,7.08,113200.00,1815,44.00
Vietnam,14.75,4.1,-0.22,35.7,1.83,2.17,195468.00,2600,45.00
Romania,5.84,3.7,-4.36,36,5.05,5.17,84185.00,10628,45.00
Nepal,25.13,4.2,-4.21,32.8,4.09,5.05,27990.00,59,47.00
Uganda,30.45,2.7,-3.26,42.8,2.2,2.94,20544.00,1244,47.00
Austria,3.24,5.1,3.55,30.2,2.77,6.3,137039.00,6123,50.00
Uzbekistan,18.98,4.9,-1.78,36.8,10.85,7.16,86496.00,4642,53.00
Nigeria,56.68,0.5,-0.21,35.1,16.95,9.79,195000.00,3798,54.00
Ethiopia,33.51,4.5,-0.19,35,26.84,3.69,120171.00,659,57.00
Lithuania,3.63,4,-4.54,35.3,4.68,7.9,84166.00,1911,61.00
Morocco,19.2,6.8,-1.74,39.5,1.4,11.47,57300.00,2067,62.00
Switzerland,3.58,5.2,4.52,32.7,0.58,5.32,71557.00,5296,63.00
