name,percentgdpeduc,gini,deathsperthoulivebirths,inflationrate,migrantsperthousand,unemploymentrate,mtonsco2emissions,btuperperson,childrenperwoman,percentgdpmilitary,alcliterspercapita
Qatar,3.2,41.1,6.62,2.3,2.45,0.26,111922000,723582000,1.9,4,0.96
Cambodia,3.1,37.9,29.58,2.92,-2.7,0.61,13844000,13629000,2.24,2.5,4.56
Niger,3.8,34.3,66.81,3.84,-0.64,0.75,2374000,1540000,6.82,1.8,0.11
Laos,2.3,38.8,37.78,3.76,-1.17,1.26,40726000,73187000,2.35,0.2,8.15
Thailand,3.2,36.4,6.47,1.23,-0.13,1.42,305273000,76714000,1.54,1.3,6.86
Benin,3,37.8,55.76,1.73,0.24,1.57,6903000,8468000,5.43,0.7,1.25
Rwanda,3.8,43.7,26.39,-0.39,-3.21,1.61,1189000,1704000,3.33,1.4,6.35
Burundi,5,38.6,37.84,8.4,7.09,1.79,715000,1087000,5.03,2,4.07
Chad,2.9,37.5,65.48,-0.77,-0.13,1.88,1771000,1575000,5.46,2.5,0.55
Burma,2.1,30.7,32.94,8.83,-1.37,2.17,31848000,10679000,2.02,3.4,2.06
Vietnam,4.1,35.7,14.75,1.83,-0.22,2.17,249929000,36392000,2.05,2.4,3.41
Philippines,3.7,44.4,22.23,3.93,0.13,2.41,142282000,19261000,2.78,1.1,4.85
Madagascar,3.1,42.6,39.04,5.81,0,2.59,4218000,2307000,3.62,0.7,0.89
Tanzania,3.3,40.5,30.87,3.69,-0.41,2.65,11491000,3334000,4.39,1.1,7.81
Papua New Guinea,1.4,50.9,33.59,4.48,0,2.75,6491000,11316000,3.92,0.4,1.26
Japan,3.4,32.9,1.9,-0.23,0.74,2.8,1103234000,147107000,1.38,1,8.36
Czechia,5.1,25.3,2.4,3.84,2.32,2.89,99533000,161972000,1.49,1.5,12.73
Uganda,2.7,42.8,30.45,2.2,-3.26,2.94,5841000,2943000,5.36,2.5,6.82
Seychelles,5.2,46.8,10.6,8.28,0.86,3,1156000,163060000,1.82,1.5,9.48
United Arab Emirates,3.9,32.5,5.14,-2.08,-3.45,3.36,276236000,471788000,1.64,5.6,2.03
Poland,5.2,29.7,4.16,5.06,-0.33,3.37,304040000,112831000,1.4,2.4,10.96
Cote d'Ivoire,3.4,37.2,55.67,4.09,1.18,3.47,11880000,8225000,3.53,1.1,1.7
Malta,5.9,31,4.53,1.5,5.49,3.5,9576000,267739000,1.5,0.5,8.07
"Korea, South",4.7,31.4,2.87,2.5,2.63,3.53,686954000,242346000,1.1,2.6,7.74
Germany,4.7,31.7,3.19,3.14,1.78,3.54,726881000,161174000,1.57,1.5,10.56
Guatemala,3.1,48.3,26.18,4.26,-1.66,3.57,19041000,19411000,2.62,0.4,1.63
Singapore,2.8,45.9,1.55,2.3,4.22,3.62,238983000,639951000,1.16,3.2,1.81
Ethiopia,4.5,35,33.51,26.84,-0.19,3.69,16798000,3219000,3.99,0.5,1.16
Senegal,5.5,40.3,32.44,2.55,-0.71,3.72,10696000,9221000,4.27,1.7,0.25
Cameroon,3.2,46.6,48.73,2.27,-0.31,3.87,7105000,6187000,4.55,1,4.09
Moldova,6.4,25.7,11.6,5.11,-8.87,3.96,8114000,40398000,1.59,0.4,7.45
Tonga,6.6,37.6,12.41,5.64,-18.01,3.97,171000,22841000,2.76,2.1,0.31
Mozambique,6.3,54,61.38,5.69,-1.58,3.98,7753000,8107000,4.81,1.2,1.46
Togo,4,43.1,41.19,1.83,-1.81,4,2244000,4113000,4.23,1.8,1.4
Netherlands,5.3,28.5,3.4,2.68,1.9,4.01,214416000,219606000,1.78,1.7,8.23
Liberia,2.7,35.3,44.57,23.56,-2.74,4.09,1346000,3790000,4.79,0.7,3.12
Hungary,4.8,30,4.62,5.11,1.23,4.12,48589000,108212000,1.48,1.7,10.79
New Zealand,6,36.2,3.44,3.94,5.83,4.12,40344000,186804000,1.86,1.4,9.17
Pakistan,2.4,33.5,53.98,9.5,-0.96,4.35,193869000,15859000,3.46,4,0.04
Mexico,4.3,45.4,11.86,5.69,-0.76,4.38,463739000,61597000,1.68,0.8,4.25
Indonesia,3.5,37.9,19.73,1.56,-0.71,4.41,563543000,29680000,2.01,0.8,0.08
Slovenia,5.8,24.2,1.52,1.92,1.54,4.42,13553000,134836000,1.6,1.2,11.05
United Kingdom,5.5,34.8,3.82,2.52,3.59,4.53,398084000,119894000,1.63,2.1,9.8
Malaysia,3.9,41.1,6.59,2.48,1.48,4.61,254764000,123755000,1.75,1,0.64
Ghana,3.9,43.5,32.59,9.97,-0.16,4.7,18093000,11239000,3.66,0.5,1.59
Belarus,4.7,24.4,3.27,9.46,0.72,4.74,54695000,102558000,1.51,1.2,10.57
Burkina Faso,5.5,47.3,49.42,3.65,-0.61,4.76,4444000,3230000,4.27,2.4,7.28
Denmark,6.4,27.7,3.04,1.85,2.73,4.8,33850000,124163000,1.77,1.4,9.16
China,3.6,38.2,6.76,0.98,-0.11,4.82,10773248000,105687000,1.45,1.5,4.48
Peru,4,42.8,10.8,4.27,-0.75,4.83,54996000,36465000,2.2,1.1,5.74
Kazakhstan,4.5,27.8,19.18,6.75,0.39,4.9,263689000,180726000,2.11,1,3.73
Norway,5.9,27,2.31,3.48,3.92,4.99,36731000,333833000,1.83,1.6,6.05
Russia,3.7,37.5,6.42,6.69,1.7,5.01,1848070000,227898000,1.6,4,7.29
Nepal,4.2,32.8,25.13,4.09,-4.21,5.05,7708000,5219000,1.9,1.3,0.36
Israel,7.1,38.6,3.56,1.49,2.02,5.05,61092000,113273000,2.56,5,3.07
Timor-Leste,4.2,28.7,33.69,0.96,-3.82,5.07,538000,5740000,4.21,1.8,0.41
Turkmenistan,3.1,40.8,37.62,8,-1.71,5.08,109037000,330507000,2.03,1.9,2.88
Australia,6.1,34.3,3.01,2.86,6.93,5.11,417870000,241004000,1.73,2,9.51
Zimbabwe,3.9,44.3,28.53,98.55,-4.83,5.17,7902000,11516000,3.89,2.6,3.11
Romania,3.7,36,5.84,5.05,-4.36,5.17,68746000,71736000,1.63,2,10.96
Bangladesh,2.1,32.4,30.35,5.55,-2.9,5.23,96180000,9917000,2.09,1.1,0
Luxembourg,5,34.2,3.25,2.53,12.01,5.23,11308000,310068000,1.63,0.6,11
Fiji,5.7,30.7,10.06,0.16,-5.84,5.24,1691000,32901000,2.26,1.5,2.71
Switzerland,5.2,32.7,3.58,0.58,4.52,5.32,38739000,137918000,1.58,0.7,9.41
Sierra Leone,9.1,35.7,73.42,11.87,2.03,5.33,899000,1803000,3.8,0.3,3.22
Sri Lanka,1.9,39.8,8.2,7.01,-1.22,5.39,23939000,17268000,1.98,1.9,2.58
Bulgaria,4,40.3,7.98,3.3,-0.29,5.42,38373000,103924000,1.5,1.7,11.18
"Congo, Democratic Republic of the",2.7,42.1,60.85,41.5,-0.71,5.43,2653000,1371000,5.63,0.7,0.56
United States,6.1,41.1,5.17,4.7,3.02,5.46,5144361000,304414000,1.84,3.5,8.93
Kenya,4.8,40.8,27.86,6.11,-0.19,5.74,17709000,6310000,3.29,1.2,1.68
El Salvador,4.1,38.8,12.14,3.47,-6.29,5.94,7632000,24124000,2.05,1.2,2.94
Nicaragua,4.6,46.2,19.09,4.93,-2.15,5.96,4851000,14916000,1.8,0.6,3.69
India,4.5,35.7,30.31,5.13,0.16,5.98,2314738000,23231000,2.1,2.1,3.09
Cyprus,6.1,31.2,8.36,2.45,6.96,6.13,8024000,133920000,1.48,2,9.59
Austria,5.1,30.2,3.24,2.77,3.55,6.3,65540000,171299000,1.51,0.7,11.9
Estonia,6.6,30.8,3.42,4.65,-2.79,6.33,4924000,76329000,1.61,2.35,11.65
Guinea,2.2,29.6,49.63,12.6,0,6.34,2981000,4133000,4.85,1.5,0.33
Venezuela,1.3,39,17.72,146101.7,13.88,6.41,103708000,85829000,2.22,5.2,2.51
Belgium,6.7,27.2,3.19,2.44,4.38,6.42,128247000,234216000,1.77,1.2,9.15
Ecuador,3.7,47.3,18.13,0.13,0,6.43,36051000,42564000,2.04,2,3.05
Central African Republic,2.2,56.2,82.97,4.26,-3.22,6.57,285000,1121000,4.04,1.8,0.94
Azerbaijan,4.3,33.7,23.51,6.65,0,6.58,35389000,64416000,1.86,5.2,1.38
Ireland,3.1,30.6,3.47,2.36,3.79,6.63,35475000,133674000,1.92,0.3,10.91
Portugal,5,33.8,2.5,1.27,0.91,6.65,50370000,101734000,1.43,1.5,10.37
Slovakia,4.6,25.2,4.82,3.15,0.2,6.74,32506000,129665000,1.46,2,10.3
Guinea-Bissau,2.7,34.8,49.05,2.24,-3.63,6.76,342000,2460000,4.69,1.8,3.21
Malawi,2.9,38.5,33.43,8.63,0,7.02,1542000,1809000,3.4,0.9,2.04
Mongolia,4.7,32.7,20.18,7.35,-0.77,7.08,22740000,83045000,1.91,0.8,5.46
Uzbekistan,4.9,36.8,18.98,10.85,-1.78,7.16,102965000,57709000,1.73,2.8,2.45
Paraguay,3.3,46.2,23.21,4.79,-0.07,7.21,7896000,62775000,1.89,1,5.47
Saudi Arabia,7.8,45.9,12.27,3.06,5.52,7.36,579925000,296949000,1.92,6,0
Mauritius,4.9,36.8,12.08,4.03,0,7.41,7191000,79448000,1.35,0.2,3.39
Canada,5.2,33.3,4.38,3.4,5.46,7.51,612084000,403700000,1.57,1.4,8
Finland,5.9,27.7,2.13,2.19,2.35,7.53,41996000,216571000,1.74,2,8.23
Latvia,6,34.5,4.85,3.28,-5.19,7.6,8450000,86645000,1.54,2.1,12.9
Mali,4.4,36.1,60.64,3.93,-3.08,7.72,5679000,4396000,5.54,3.5,0.6
Tajikistan,5.9,34,32.33,7.7,-1.03,7.75,7643000,27651000,2.45,1.2,0.85
Lithuania,4,35.3,3.63,4.68,-4.54,7.9,14503000,101651000,1.61,2.5,11.93
France,5.5,32.4,3.15,1.64,1.06,8.06,338425000,151053000,2.03,1.9,11.44
Dominican Republic,4.6,39.6,21.18,8.24,-2.68,8.5,26808000,39016000,2.21,0.7,5.56
Honduras,6.4,48.2,15.08,4.48,-1.34,8.51,8523000,19800000,2.01,1.6,2.73
Bolivia,9.8,43.6,22.28,0.74,-0.98,8.51,17786000,27094000,2.33,1.4,2.98
Angola,2.4,51.3,58.86,25.75,-0.19,8.53,19362000,11693000,5.83,1.4,5.84
Sweden,7.2,28.8,2.3,2.16,3.6,8.66,48144000,210882000,1.67,1.5,7.1
Croatia,5.5,28.9,8.74,2.55,-0.5,8.68,16752000,89733000,1.45,2,9.64
Ukraine,5.4,26.1,7.33,9.36,-0.26,8.88,185686000,82571000,1.56,4,5.69
Kyrgyzstan,6.2,29,25.66,11.91,-4.87,9.1,7880000,35059000,2.5,1.7,4.02
Chile,5.6,44.9,6.55,4.52,0.33,9.13,88333000,81953000,1.76,2,7.8
Jamaica,6,35,11.17,5.86,-7.7,9.18,10002000,49700000,2.06,1.4,3.46
Egypt,2.5,31.5,17.7,5.21,-0.31,9.33,235137000,40063000,2.88,1.3,0.14
Nigeria,0.5,35.1,56.68,16.95,-0.21,9.79,104494000,8466000,4.62,0.7,4.49
Italy,4.3,35.2,3.16,1.87,3.02,9.83,332041000,112606000,1.22,1.55,7.65
Uruguay,4.6,39.7,8.31,7.75,-0.88,10.45,6450000,66909000,1.76,2.3,5.42
Georgia,3.6,34.5,14.77,9.57,0.06,10.66,10299000,63286000,1.75,1.7,7.45
Argentina,5,42.3,9.35,25.7,-0.08,10.9,193205000,79083000,2.18,0.8,7.95
"Gambia, The",2.8,35.9,37.19,7.37,-0.04,11.21,606000,3547000,3.79,0.8,2.67
